sample	notch60	hp_5Hz	ttm	lp35	thresh_2s_avg	thresh_2s_max	thresh	lock_count
1906	0.491424	0.143035	0.00122076	0.00240117	0.00223007	0.149294	0.149294	0
1921	0.494027	0.140698	0.00159077	0.00221805	0.00223229	0.149294	0.149294	0
1968	0.490699	0.132463	0.00243444	0.00210288	0.00223439	0.149294	0.149294	0
2036	0.487042	0.123935	0.00310021	0.00211651	0.00223651	0.149294	0.149294	0
2081	0.483436	0.115496	0.00322284	0.00221704	0.00223872	0.149294	0.149294	0
2086	0.483649	0.110872	0.00265814	0.00230392	0.00224103	0.149294	0.149294	0
2037	0.484717	0.107093	0.00204941	0.00234986	0.00224338	0.149294	0.149294	0
1971	0.488452	0.105943	0.0014631	0.0023112	0.00224569	0.149294	0.149294	0
1917	0.490998	0.103579	0.00156071	0.00222832	0.00224792	0.149294	0.149294	0
1912	0.492789	0.100442	0.00176973	0.00212204	0.00225004	0.149294	0.149294	0
1952	0.49128	0.0940202	0.00240244	0.00207221	0.00225211	0.149294	0.149294	0
2017	0.487909	0.08577	0.00301714	0.00210306	0.00225421	0.149294	0.149294	0
2080	0.486622	0.0796171	0.00279271	0.00218496	0.0022564	0.149294	0.149294	0
2096	0.485527	0.0736669	0.00252693	0.00227209	0.00225867	0.149294	0.149294	0
2071	0.488724	0.0719762	0.00189393	0.00232018	0.00226099	0.149294	0.149294	0
2012	0.492681	0.0710067	0.00158921	0.00232007	0.00226331	0.149294	0.149294	0
1966	0.498709	0.0720479	0.00122815	0.0022339	0.00226555	0.149294	0.149294	0
1951	0.501742	0.0700634	0.00128734	0.00210441	0.00226765	0.149294	0.149294	0
1988	0.503348	0.0666357	0.00136481	0.0019717	0.00226962	0.149294	0.149294	0
2050	0.501161	0.0594372	0.00168144	0.00190193	0.00227152	0.149294	0.149294	0
2116	0.499663	0.0529421	0.00168741	0.00187607	0.0022734	0.149294	0.149294	0
2140	0.497314	0.0456198	0.00161203	0.00188671	0.00227529	0.149294	0.149294	0
2113	0.496437	0.0397786	0.00158711	0.0018886	0.00227718	0.149294	0.149294	0
2046	0.496528	0.0349048	0.0015025	0.00186951	0.00227905	0.149294	0.149294	0
1969	0.495887	0.0293052	0.00182081	0.00182796	0.00228087	0.149294	0.149294	0
1935	0.49742	0.0258633	0.00203793	0.00175802	0.00228263	0.149294	0.149294	0
1954	0.498085	0.0215473	0.00255031	0.00174071	0.00228437	0.149294	0.149294	0
2016	0.497653	0.0161394	0.0029078	0.00176791	0.00228614	0.149294	0.149294	0
